Turn,Capture,None,Five or More,Open one,Half open one,Open two,Half open two,Open three,Half open three,open four,four,Capture,None,Five or More,Open one,Half open one,Open two,Half open two,Open three,Half open three,open four,four,Inital score,Score
25,2,0,0,15,11,1,4,1,0,0,1,2,0,0,17,17,2,0,1,1,0,0,9550,-98812
27,2,0,0,15,11,1,4,1,1,0,1,2,0,1,15,19,2,1,0,1,0,0,-88990,-98777
29,2,0,0,16,13,1,3,1,2,0,1,2,0,1,18,18,1,1,0,2,0,0,-88945,-98317
31,2,0,0,19,14,1,3,1,2,0,1,2,0,1,22,19,1,2,0,1,0,0,-88505,-88848
33,2,0,0,22,14,1,3,0,3,0,1,2,0,1,24,21,1,2,0,0,0,0,-97505,-88046
35,2,0,0,25,15,1,3,0,2,0,1,2,0,1,26,20,1,3,0,0,0,0,-98035,-87293
37,4,0,0,27,14,2,2,0,3,0,1,2,0,1,24,20,1,2,0,0,0,0,-97278,2004
39,4,0,0,30,11,1,2,1,2,0,0,4,0,1,28,18,1,3,0,0,0,0,-98065,2147483647
41,4,0,0,26,12,2,2,0,2,0,0,6,0,1,30,18,1,4,0,0,0,0,-99272,2147483647
1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-80
3,0,0,0,6,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-10
5,0,0,0,10,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,510
7,0,0,0,8,3,0,1,1,0,0,0,0,0,0,13,2,0,0,0,0,0,0,1005,2147483647
9,0,0,0,11,3,0,1,0,0,0,1,0,0,0,16,3,0,0,0,0,0,0,1000,2147483647
11,0,0,0,10,2,1,1,0,0,0,0,2,0,0,21,3,0,0,0,0,0,0,-7,2147483647
1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-80
3,0,0,0,6,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-10
5,0,0,0,10,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,440
7,0,0,0,8,3,1,0,0,1,0,0,0,0,0,13,2,0,0,0,0,0,0,555,615
9,0,0,0,11,3,0,0,0,2,0,0,0,0,0,16,3,0,0,0,0,0,0,950,985
11,0,0,0,9,7,0,1,0,2,0,0,0,0,0,14,6,1,0,0,0,0,0,905,873
13,0,0,0,8,9,0,1,0,3,0,0,0,0,0,14,8,1,1,0,0,0,0,1345,795
15,0,0,0,10,10,0,1,0,2,0,0,0,0,0,16,10,1,1,0,0,0,0,840,400
17,0,0,0,11,8,0,1,0,2,0,0,2,0,0,20,9,1,2,0,0,0,0,713,-62
19,2,0,0,15,7,0,2,0,2,0,0,2,0,0,20,6,1,1,0,0,0,0,905,-562
21,2,0,0,8,9,2,2,0,1,0,0,4,0,0,23,8,0,2,0,0,0,0,433,-669
23,2,0,0,9,10,1,0,0,1,0,0,6,0,0,26,8,0,3,0,0,0,0,-34,-681
25,2,0,0,9,10,1,0,0,2,0,0,6,0,0,25,11,1,3,0,0,0,0,361,-734
27,2,0,0,10,11,0,0,0,3,0,0,6,0,0,24,13,2,3,0,0,0,0,676,-1152
29,4,0,0,14,8,1,1,0,3,0,0,6,0,0,24,10,2,1,0,1,0,0,588,-1312
31,4,0,0,15,9,0,0,0,2,0,0,8,0,0,28,10,2,1,0,0,0,0,131,-1289
33,4,0,0,18,10,0,0,0,1,0,0,8,0,0,31,10,2,1,0,0,0,0,-364,-2734
35,4,0,0,18,14,0,0,0,1,0,0,8,0,0,29,12,2,1,1,0,0,0,-1334,-20247
37,4,0,0,20,16,0,0,0,1,0,0,8,0,0,29,13,2,1,1,1,0,0,-1809,-2147483648
39,4,0,0,19,16,2,0,0,1,0,0,8,0,0,32,14,2,2,0,0,0,1,-1204,-2147483648
1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-80
3,0,0,0,6,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-10
5,0,0,0,8,4,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,-80,293
7,0,0,0,4,7,1,0,1,0,0,0,0,0,0,8,3,0,0,1,0,0,0,80,2147483647
9,0,0,0,5,9,1,0,0,0,1,0,0,0,0,9,5,0,0,0,0,1,0,80,2147483647
1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-80
3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-35
5,0,0,0,9,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,475,-290
7,0,0,0,9,4,0,0,0,1,0,0,0,0,0,11,5,0,0,0,0,0,0,475,297
9,0,0,0,7,6,1,1,0,1,0,0,0,0,0,11,6,1,0,0,0,0,0,510,-178
11,0,0,0,6,8,2,0,0,2,0,0,0,0,0,12,8,0,0,1,0,0,0,140,-20
13,0,0,0,6,11,1,0,0,3,0,0,0,0,0,14,9,0,0,0,1,0,0,1030,433
15,0,0,0,9,11,0,0,0,4,0,0,0,0,0,17,10,0,0,0,1,0,0,1425,365
17,0,0,0,9,12,0,0,0,5,0,0,0,0,0,19,12,0,0,0,1,0,0,1900,303
19,0,0,0,8,15,0,1,0,4,0,0,0,0,0,16,17,1,0,0,1,0,0,1360,-322
21,0,0,0,11,16,0,1,0,4,0,0,0,0,0,19,16,0,0,1,1,0,0,470,-940
23,0,0,0,13,18,0,1,0,4,0,0,0,0,0,22,17,0,0,0,2,0,0,965,1378
25,0,0,1,12,19,0,2,0,3,0,0,0,0,0,26,15,0,0,0,2,0,0,100480,1920
27,0,0,1,15,19,0,2,0,3,0,0,0,0,0,29,16,0,0,0,1,0,0,100975,2323
29,0,0,1,16,19,0,2,0,3,0,0,0,0,0,28,18,0,1,0,0,0,0,101435,100235
31,0,0,1,20,16,0,1,0,2,0,0,2,0,0,35,13,1,1,0,0,0,0,100723,2147483647
1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-80
3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,85
5,0,0,0,9,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,475,-80
7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,-20,570
9,0,0,0,11,1,1,0,0,1,0,0,0,0,0,16,4,0,0,0,0,0,0,535,200
11,0,0,0,13,3,1,0,0,1,0,0,0,0,0,15,6,0,0,1,0,0,0,-435,238
13,0,0,1,13,2,0,2,0,0,0,0,0,0,0,14,9,1,0,1,0,0,0,98955,-80
15,0,0,1,16,3,0,2,0,0,0,0,0,0,0,17,10,1,0,1,0,0,0,98955,-112
17,0,0,1,19,4,0,2,0,0,0,0,0,0,0,19,11,0,0,1,1,0,0,98565,193
19,2,0,1,19,4,2,2,0,1,0,0,0,0,0,18,11,0,0,1,0,0,0,99817,2147483647
